0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
순,이름,팀,WAR,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA
94,강재민,20한,0,50,0,0,0,1,2,1,14,49,16,14,203,41,5,0,3,18,1,0,57,1,2,2.57,3.07,1.2,183.9,156,0,1.84
95,홍상삼,20K,0,57,0,0,0,4,5,0,17,48,27,27,229,32,11,0,5,54,0,3,61,0,8,5.06,5.93,1.79,94.8,81.3,0,-0.55
96,우규민,20삼,0,52,0,0,0,3,3,7,11,48,34,33,210,61,10,1,3,9,1,1,30,0,0,6.19,3.68,1.46,79.3,131.8,0,0.05
97,전상현,20K,0,47,0,0,0,2,2,15,13,47.2,21,13,198,35,6,1,4,22,0,0,64,0,2,2.45,3.35,1.2,195.5,145,0,1.87
98,오승환,20삼,0,45,0,0,0,3,2,18,2,47.2,14,14,201,44,10,1,2,15,0,2,39,0,1,2.64,3.53,1.24,185.6,136.4,0,1.82
99,김정빈,20S,0,57,0,0,0,1,1,1,10,47.1,30,27,226,37,8,1,5,45,1,8,42,0,6,5.13,6.45,1.73,94,75.4,0,-0.14
100,김진성,20N,0,48,0,0,0,3,0,0,6,47.1,16,14,190,41,8,2,4,10,1,0,56,0,2,2.66,2.86,1.08,183.5,169.7,0,1.13
101,이보근,20K,0,49,0,0,0,3,1,6,9,46.2,17,13,192,42,5,0,2,12,1,2,27,0,3,2.51,3.79,1.16,191.6,125.8,0,0.04
102,조현우,20K,0,54,0,0,0,5,1,1,9,46.2,16,16,196,38,8,1,1,22,1,1,33,0,3,3.09,3.83,1.29,155.7,124.7,0,1.06
103,김주한,20S,0,22,0,0,7,1,7,0,0,46,43,38,220,60,7,1,7,20,0,8,22,0,4,7.43,6.4,1.74,64.9,76.2,0,-1.84
104,안영명,20한,0,39,0,0,0,1,1,0,1,45.2,32,30,201,51,8,1,9,18,1,2,34,0,0,5.91,5.88,1.51,80,81.5,0,-0.83
105,전유수,20K,0,47,0,0,0,5,4,2,3,45.2,26,26,200,46,7,1,3,21,5,3,27,0,1,5.12,4.48,1.47,93.8,106.5,0,0.41
106,이인복,20롯,0,47,0,0,1,1,4,0,2,45.1,22,20,199,57,9,0,2,12,1,1,21,0,2,3.97,4,1.52,122.7,119.7,0,-1.01
107,조성운,20키,0,42,0,0,0,1,1,0,1,45,30,27,201,48,11,1,6,19,1,2,29,0,2,5.4,5.33,1.49,87.4,86.8,0,-0.78
108,허윤동,20삼,0,11,0,0,11,2,1,0,0,45,26,24,204,43,10,0,4,31,0,2,18,1,0,4.8,6.11,1.64,102.2,79.3,0,-0.21
109,김진욱,20한,0,22,0,0,6,3,4,1,0,44.2,29,28,206,50,12,1,9,25,0,5,29,0,3,5.64,6.89,1.68,83.8,69.6,0,-1.07
110,최지광,20삼,0,51,0,0,0,1,3,0,15,44.1,24,24,199,34,5,0,2,31,4,3,45,0,5,4.87,4.14,1.47,100.7,116.9,0,-0.54
111,조영건,20키,0,20,0,0,10,3,3,0,0,44.1,30,26,207,47,7,1,8,27,1,4,23,1,0,5.28,6.89,1.67,89.4,67.2,0,-1.02
112,박진우,20N,0,43,0,0,1,2,2,0,7,43,29,25,194,47,7,0,2,13,1,6,22,0,0,5.23,4.39,1.4,93.4,109.5,0,-0.38
113,배재환,20N,0,53,0,0,0,1,3,0,12,43,22,19,209,38,7,2,4,35,3,9,33,2,5,3.98,6.09,1.7,122.9,79.3,0,-1.88
114,박진형,20롯,0,53,0,0,0,1,4,0,17,42.2,27,27,194,56,15,2,7,13,2,4,50,0,3,5.7,4.4,1.62,85.5,109.3,0,-1.18
115,김민,20K,0,24,0,0,6,3,3,0,1,42.2,35,31,207,46,4,0,6,29,0,5,32,0,5,6.54,6.27,1.76,73.5,75.6,0,-1.32
116,이현승,20두,0,62,0,0,0,2,1,2,9,42.1,27,25,195,48,9,2,2,21,0,2,42,1,3,5.31,3.82,1.63,87.2,122.4,0,-0.55
117,신민혁,20N,0,17,0,0,7,2,3,0,0,42,27,27,196,57,7,0,10,13,0,3,26,0,0,5.79,6.56,1.67,84.4,74.3,0,-0.7
118,김세현,20S,0,42,0,0,0,2,0,1,7,42,28,27,187,44,7,0,7,22,0,1,35,0,1,5.79,5.7,1.57,83.4,85.9,0,-0.95
119,고우석,20L,0,40,0,0,0,0,4,17,1,41.2,22,19,183,37,9,0,2,19,1,2,51,0,5,4.1,3.17,1.34,112.8,146.5,0,0.38
120,하준호,20K,0,42,0,0,1,0,3,0,5,41.2,30,28,189,38,6,0,1,27,1,2,26,0,2,6.05,4.64,1.56,79.4,102.9,0,-1
121,장현식,20NK,0,37,0,0,3,4,4,0,6,41,52,49,207,64,14,2,8,22,0,3,26,0,11,10.76,6.65,2.1,44.8,72.2,0,-2.09
122,임정호,20N,0,69,0,0,0,2,2,0,22,41,23,21,175,32,3,0,3,20,0,7,38,0,0,4.61,4.63,1.27,106,104.2,0,1.35
123,이영준,20키,0,52,0,0,0,2,3,0,25,40,21,21,176,41,3,0,5,19,0,2,32,1,3,4.73,5.16,1.5,99.9,89.8,0,0.7
124,윤명준,20두,0,42,0,0,0,0,0,2,7,40,24,22,180,49,6,1,4,12,1,1,20,0,1,4.95,4.76,1.53,93.6,97.2,0,0.42
125,임창민,20N,0,44,0,0,0,7,2,0,11,37.2,26,22,179,39,10,1,4,23,1,2,44,0,3,5.26,4.51,1.65,92.9,107.4,0,-1.6
126,임규빈,20키,0,33,0,0,0,2,0,0,2,37.2,20,19,162,46,7,0,11,10,0,2,20,0,2,4.54,7.25,1.49,103.9,63,0,-0.2
127,정해영,20K,0,47,0,0,0,5,3,1,11,37.2,15,14,169,40,5,1,2,24,2,2,32,0,7,3.35,4.46,1.7,143.5,107.5,0,-0.66
128,이승헌,20롯,0,8,0,0,8,3,2,0,0,36.2,25,19,157,34,2,1,1,11,1,2,34,1,2,4.66,3.04,1.23,104.5,157.3,0,-0.3
129,노성호,20삼,0,45,0,0,0,2,3,0,10,36.1,23,18,166,28,5,0,3,29,1,2,34,0,7,4.46,5.23,1.57,110,92.7,0,-0.37
130,장필준,20삼,0,31,0,0,2,0,3,0,4,36,24,23,170,46,9,0,6,16,0,0,26,0,5,5.75,5.61,1.72,85.3,87.5,0,-0.94
131,오현택,20롯,0,48,0,0,0,3,1,0,7,36,15,15,152,37,6,1,5,8,1,2,17,0,1,3.75,5.17,1.25,129.9,92.9,0,0.1
132,안우진,20키,0,42,0,0,0,2,3,2,13,36,12,12,143,20,2,0,3,17,1,0,41,0,2,3,3.69,1.03,157.3,124.9,0,-0.8
133,김건태,20N,0,33,0,0,0,1,1,0,4,35,19,19,155,29,6,0,4,25,0,2,37,0,3,4.89,5.24,1.54,100,92.4,0,-0.26
134,장원삼,20롯,0,13,0,0,4,0,3,0,0,34,32,29,160,49,8,0,6,10,1,3,15,0,0,7.68,6.03,1.74,63.5,79.7,0,-1.2
135,이정용,20L,0,34,0,0,0,3,0,0,4,34,15,14,147,32,5,0,6,14,0,2,33,1,0,3.71,5.32,1.35,124.9,85.4,0,0.45
136,최성훈,20L,0,48,0,0,0,0,0,0,2,33.1,13,13,145,36,4,1,1,16,2,1,24,0,1,3.51,3.86,1.56,131.8,121.8,0,-0.14
137,박정수,20KN,0,22,0,0,3,1,1,0,2,33,17,17,144,25,5,1,4,24,0,6,29,0,1,4.64,6.1,1.49,105,79.2,0,-0.29
138,채지선,20두,0,37,0,0,0,1,0,0,2,33,18,18,158,34,3,1,3,24,1,5,34,0,11,4.91,5.22,1.76,94.4,88.7,0,-0.09
139,김대현,20L,0,33,0,0,0,4,0,0,3,32.1,24,21,158,37,7,2,6,23,1,1,28,0,3,5.85,6.37,1.86,79.2,71.7,0,-0.45
140,김현수,20K,0,15,0,0,4,1,2,0,0,32.1,27,26,167,41,7,3,3,31,0,2,19,0,1,7.24,6.65,2.23,66.3,72.2,0,-0.12
141,김건국,20롯,0,32,0,0,0,3,2,0,1,31.2,14,14,139,30,5,2,2,9,0,3,31,0,4,3.98,3.56,1.23,122.4,134.7,0,-0.22
142,진명호,20롯,0,37,0,0,0,0,1,0,2,31.1,25,25,146,29,5,1,3,22,0,2,32,0,1,7.18,5.06,1.63,67.8,94.7,0,-1.29
143,이상규,20L,0,28,0,0,0,2,3,4,1,31,23,23,152,45,10,1,4,21,0,1,18,0,2,6.68,6.2,2.13,69.3,74.5,0,-0.98
144,김주온,20S,0,29,0,0,0,0,3,0,0,31,27,26,160,46,7,0,5,22,0,5,18,0,5,7.55,7.1,2.19,63.9,68.6,0,-0.68
145,박시영,20롯,0,36,0,0,0,1,1,0,1,30.1,27,27,145,32,7,0,5,23,0,1,21,0,1,8.01,6.69,1.81,60.8,71.7,0,-1.17
146,홍정우,20삼,0,30,0,0,0,0,0,0,1,30,23,22,139,37,4,1,5,12,0,1,29,0,1,6.6,5.09,1.63,74.3,96.7,0,-0.23
147,최준용,20롯,0,31,0,0,0,0,2,0,8,29.2,16,16,130,31,7,1,3,11,4,2,26,0,3,4.85,4.03,1.42,100.4,119.1,0,-0.75
148,이대은,20K,0,20,0,0,4,0,4,1,0,29.1,23,19,142,36,6,0,4,13,3,5,15,0,8,5.83,5.84,1.67,82.4,81.2,0,-2.73
149,백승건,20S,0,10,0,0,7,0,5,0,0,29.1,29,26,156,37,5,0,7,31,0,2,28,0,1,7.98,8.12,2.32,60.5,60.2,0,-1.5
150,양승철,20K,0,15,0,0,1,0,0,0,0,28.2,26,25,144,41,9,0,4,24,0,3,13,0,3,7.85,7.29,2.27,61.2,65.7,0,-0.27
