0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
순,이름,팀,WAR*,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR*,WPA
215,안익훈,21LCF,-0.09,48,16,14,4,2,1,0,0,3,1,0,0,0,2,0,2,1,0,0,0.143,0.25,0.214,0.464,0.239,35.3,-0.09,-0.09
216,도태훈,21N3B,-0.09,77,76,66,10,12,1,0,1,16,9,1,0,6,4,0,14,3,0,0,0.182,0.29,0.242,0.532,0.269,52.4,-0.09,-0.57
217,박정우,21KCF,-0.09,32,61,48,3,9,1,0,0,10,4,0,2,10,2,0,8,2,1,0,0.188,0.35,0.208,0.558,0.294,67.6,-0.09,-0.24
218,강민국,21K2B,-0.1,18,50,45,2,11,2,0,0,13,4,0,0,3,0,0,6,1,2,0,0.244,0.292,0.289,0.581,0.27,50.6,-0.1,-0.17
219,이재율,21NLF,-0.1,23,17,15,5,3,2,0,0,5,1,1,1,0,2,0,3,1,0,0,0.2,0.294,0.333,0.628,0.303,76.4,-0.1,-0.25
220,권혁경,21KC,-0.11,5,18,18,1,4,0,0,0,4,0,0,0,0,0,0,6,2,0,0,0.222,0.222,0.222,0.444,0.213,13.9,-0.11,-0.27
221,국해성,21두RF,-0.12,4,8,8,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.125,0.125,0.125,0.25,0.12,-47.3,-0.12,-0.11
222,고종욱,21SLF,-0.12,88,199,180,25,48,5,0,2,59,18,2,3,16,0,0,30,6,1,2,0.267,0.323,0.328,0.651,0.311,80,-0.12,0
223,최보성,21N3B,-0.13,10,14,12,0,3,0,0,0,3,1,0,1,0,1,0,5,0,1,0,0.25,0.308,0.25,0.558,0.26,48.3,-0.13,0.22
224,정의윤,21SLF,-0.13,62,178,165,21,38,2,0,7,61,24,0,0,11,0,1,37,5,0,2,0.23,0.275,0.37,0.645,0.295,67.3,-0.13,-0.04
225,문성주,21LLF,-0.13,31,89,79,11,18,1,0,1,22,10,1,1,7,2,0,15,1,0,1,0.228,0.303,0.278,0.582,0.286,65.3,-0.13,-0.68
226,고명준,21SDH,-0.14,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,-126.4,-0.14,-0.23
227,김호재,21삼1B,-0.14,87,90,75,9,17,2,0,0,19,7,0,0,9,2,0,14,0,3,1,0.227,0.322,0.253,0.575,0.28,60.2,-0.14,-0.15
228,모창민,21N1B,-0.15,3,6,5,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0.167,0,0.167,0.123,-46.3,-0.15,-0.15
229,최승민,21NCF,-0.15,48,34,31,8,7,1,0,0,8,1,4,3,1,0,0,7,0,2,0,0.226,0.25,0.258,0.508,0.23,27.3,-0.15,-0.18
230,정진기,21SNLF,-0.16,88,206,193,27,43,8,0,6,69,21,6,3,10,1,0,39,2,2,0,0.223,0.265,0.358,0.622,0.286,62.1,-0.16,-0.26
231,허관회,21한C,-0.16,28,79,63,4,12,0,0,0,12,2,0,0,13,1,0,22,1,0,2,0.19,0.329,0.19,0.52,0.277,58.2,-0.16,-0.57
232,정민규,21한3B,-0.16,6,17,16,1,2,1,0,0,3,0,0,0,1,0,0,6,1,0,0,0.125,0.177,0.188,0.364,0.178,-7.8,-0.16,-0.21
233,김민수,21N,-0.17,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-126.4,-0.17,-0.06
234,송호정,21한SS,-0.17,10,11,10,1,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0.091,0,0.091,0.067,-82.3,-0.17,-0.16
235,강로한,21롯CF,-0.17,21,35,33,7,4,0,0,2,10,4,0,0,2,0,0,18,0,0,0,0.121,0.171,0.303,0.475,0.215,15.3,-0.17,0.06
236,박정음,21키LF,-0.17,69,17,13,19,0,0,0,0,0,1,4,2,2,1,0,3,1,0,1,0,0.177,0,0.177,0.132,-38.8,-0.17,-0.24
237,김규남,21SLF,-0.18,4,7,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,-126.4,-0.18,-0.13
238,민병헌,21롯CF,-0.18,14,49,42,5,8,3,0,0,11,2,0,1,6,0,0,11,2,1,0,0.19,0.292,0.262,0.554,0.269,50.2,-0.18,-0.2
239,이주형,21L1B,-0.18,13,19,16,3,2,0,0,0,2,0,2,1,1,1,0,7,0,1,0,0.125,0.222,0.125,0.347,0.18,-6.5,-0.18,-0.5
240,이창진,21KCF,-0.19,105,293,249,35,52,8,1,3,71,33,5,0,36,1,0,54,10,4,3,0.209,0.308,0.285,0.593,0.287,63.8,-0.19,-1.06
241,이주찬,21롯2B,-0.2,3,8,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,-126.4,-0.2,-0.09
242,강태율,21롯C,-0.2,19,31,26,1,2,1,0,1,6,5,0,1,4,0,0,10,1,0,1,0.077,0.194,0.231,0.424,0.204,7.9,-0.2,-0.52
243,김성윤,21삼CF,-0.21,30,19,18,7,3,0,0,0,3,2,0,1,0,0,0,5,0,0,1,0.167,0.158,0.167,0.325,0.151,-25.2,-0.21,-0.38
244,나승엽,21롯1B,-0.21,60,128,113,16,23,2,0,2,31,10,1,0,14,0,0,33,1,0,1,0.204,0.289,0.274,0.563,0.276,55.7,-0.21,-0.56
245,강상원,21한CF,-0.21,35,49,37,7,4,0,0,0,4,2,3,0,9,1,0,11,0,2,0,0.108,0.298,0.108,0.406,0.229,26,-0.21,-0.23
246,강경학,21한K2B,-0.21,26,39,33,3,5,0,0,0,5,1,1,0,5,1,0,13,0,0,0,0.152,0.282,0.152,0.434,0.237,31.3,-0.21,-0.4
247,박민,21KSS,-0.22,18,38,35,3,6,1,0,0,7,3,0,1,2,1,0,10,1,0,0,0.171,0.237,0.2,0.437,0.22,18.8,-0.22,-0.41
248,임지열,21키LF,-0.22,19,30,25,5,3,0,0,0,3,0,0,1,4,1,0,10,1,0,0,0.12,0.267,0.12,0.387,0.22,19.8,-0.22,-0.14
249,김태훈,21KRF,-0.22,44,91,87,6,20,4,1,1,29,6,1,0,2,1,0,19,1,1,0,0.23,0.256,0.333,0.589,0.271,52,-0.22,0.21
250,이성우,21LC,-0.23,36,39,33,0,7,0,0,0,7,2,0,0,1,0,0,8,1,5,0,0.212,0.235,0.212,0.447,0.191,-0.1,-0.23,-0.29
251,김호은,21L,-0.23,7,9,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,-126.4,-0.23,-0.27
252,김재성,21LC,-0.23,58,73,65,6,9,2,1,1,16,3,1,0,5,1,0,13,2,1,1,0.138,0.208,0.246,0.455,0.214,18.1,-0.23,-0.74
253,최정용,21K2B,-0.23,53,65,52,7,10,1,0,0,11,2,2,0,9,0,0,16,1,3,1,0.192,0.307,0.212,0.518,0.255,42,-0.23,-0.66
